file_name,product_name,description,taste,volume
6bfb2591841bd56878dd0cd95f16801f.jpg,リアルゴールド ウルトラチャージ レモン,レモン味のエナジードリンク,レモン,500ml
7a8ab94f37f772146862ec5ea473e483.jpg",ガツンゴールド,アルギニンとガラナエキスを含むエナジードリンク,不明,190ml
7df963599ea493417fac242febb1247e.jpg",ミラクルエナジー,カフェイン、アルギニン、タウリンを含むエナジードリンク,不明,250ml
7ff09cd63e14ced282b236a51691e30e.jpg",キヴァ エナジードリンク,カフェイン、アルギニン、ガラナを含む水分補給エナジードリンク,不明,500ml
8aef643c4060b98dfca66a3c3fcf32dd.jpg",クラフトエナジー N1,天然成分を使用したクラフトエナジードリンク,不明,330ml
025a1ade388b87c33dcd2abcf3475f4d.jpg",エナジードリンク,マカ、カフェイン、アルギニンを含むエナジードリンク,不明,250ml
30f89f30efaa4850a307d0980fcdea88.jpg",キリン メッツ アルギニンV,アルギニンとビタミンCを含む炭酸エナジードリンク,不明,250ml
51BUeLEeFtL._AC_SL1500_.jpg",マッチ,ビタミンとミネラルを含むドリンク,不明,500ml
51ELo6J8aVL.AC_SL1000.jpg ,ファンタ オレンジ,オレンジ味のソーダ,オレンジ,500ml
51EWaAkVoOL.AC_SL1200.jpg ,ZAO ソーダライム,ライム味の強炭酸水,ライム,500ml
51FH3ldKeJL.AC_SL1000.jpg ,ファンタ オレンジ缶,缶入りのオレンジ味ソーダ。,オレンジ,350ml
51hXLe9frcL.AC_SL1000.jpg,カナダドライ ジンジャーエール,さわやかな味のジンジャーエール。,ジンジャー,500ml
51O1mh9DyOL.AC_SL1280.jpg,ダブルレモン,ダブルレモンの内容量を持つレモンドリンク。,レモン,500ml
51Q4X10PAKL.AC_SL1000.jpg,コカ・コーラ オリジナルテイスト,デアデビルとオリジナルテイストのコカ・コーラ。,コーラ,500ml
51vfLYhUo1L.AC_SL1000.jpg,富士強炭酸水,グレープフルーツ味の炭酸水。,グレープフルーツ,500ml
51Xj+bjALeL.AC_SL1000.jpg,ドクターペッパー,20種類のフレーバーをブレンドしたソフトドリンク。,ユニーク,500ml
